========== 2022-12-21 03:05:40.187727 ==========
time: 2022-12-21 03:05:47.841875; move number: 0; depth: 23; wait time: 6; opponent step: d2d4; bot step: d7d5; click1: [x=630, y=1611]; click2: [x=630, y=1341]; moves: ['d2d4', 'd7d5']
time: 2022-12-21 03:05:55.572758; move number: 1; depth: 23; wait time: 6; opponent step: c2c4; bot step: d5c4; click1: [x=630, y=1341]; click2: [x=765, y=1206]; moves: ['d2d4', 'd7d5', 'c2c4', 'd5c4']
time: 2022-12-21 03:06:01.271784; move number: 2; depth: 23; wait time: 6; opponent step: g1f3; bot step: g8f6; click1: [x=225, y=1746]; click2: [x=360, y=1476]; moves: ['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'g8f6']
time: 2022-12-21 03:06:07.087323; move number: 3; depth: 23; wait time: 6; opponent step: d1a4; bot step: b8d7; click1: [x=900, y=1746]; click2: [x=630, y=1611]; moves: ['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'g8f6', 'd1a4', 'b8d7']
time: 2022-12-21 03:06:13.641506; move number: 4; depth: 23; wait time: 6; opponent step: b1c3; bot step: c7c6; click1: [x=765, y=1611]; click2: [x=765, y=1476]; moves: ['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'g8f6', 'd1a4', 'b8d7', 'b1c3', 'c7c6']
time: 2022-12-21 03:06:20.731068; move number: 5; depth: 23; wait time: 6; opponent step: a4c4; bot step: d8c7; click1: [x=630, y=1746]; click2: [x=765, y=1611]; moves: ['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'g8f6', 'd1a4', 'b8d7', 'b1c3', 'c7c6', 'a4c4', 'd8c7']
time: 2022-12-21 03:06:28.227962; move number: 6; depth: 23; wait time: 6; opponent step: h2h4; bot step: e7e5; click1: [x=495, y=1611]; click2: [x=495, y=1341]; moves: ['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'g8f6', 'd1a4', 'b8d7', 'b1c3', 'c7c6', 'a4c4', 'd8c7', 'h2h4', 'e7e5']
time: 2022-12-21 03:06:34.812033; move number: 7; depth: 23; wait time: 6; opponent step: f3d2; bot step: e5d4; click1: [x=495, y=1341]; click2: [x=630, y=1206]; moves: ['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'g8f6', 'd1a4', 'b8d7', 'b1c3', 'c7c6', 'a4c4', 'd8c7', 'h2h4', 'e7e5', 'f3d2', 'e5d4']
time: 2022-12-21 03:06:46.751877; move number: 8; depth: 23; wait time: 6; opponent step: d2b3; bot step: d4c3; click1: [x=630, y=1206]; click2: [x=765, y=1071]; moves: ['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'g8f6', 'd1a4', 'b8d7', 'b1c3', 'c7c6', 'a4c4', 'd8c7', 'h2h4', 'e7e5', 'f3d2', 'e5d4', 'd2b3', 'd4c3']
time: 2022-12-21 03:07:00.853945; move number: 9; depth: 23; wait time: 6; opponent step: g2g4; bot step: d7e5; click1: [x=630, y=1611]; click2: [x=495, y=1341]; moves: ['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'g8f6', 'd1a4', 'b8d7', 'b1c3', 'c7c6', 'a4c4', 'd8c7', 'h2h4', 'e7e5', 'f3d2', 'e5d4', 'd2b3', 'd4c3', 'g2g4', 'd7e5']
time: 2022-12-21 03:07:11.658128; move number: 10; depth: 23; wait time: 6; opponent step: h1h2; bot step: e5c4; click1: [x=495, y=1341]; click2: [x=765, y=1206]; moves: ['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'g8f6', 'd1a4', 'b8d7', 'b1c3', 'c7c6', 'a4c4', 'd8c7', 'h2h4', 'e7e5', 'f3d2', 'e5d4', 'd2b3', 'd4c3', 'g2g4', 'd7e5', 'h1h2', 'e5c4']
